DOI,decision,rationale,stage
10.1021/acs.analchem.0c00768,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1021/acs.jnatprod.1c00980,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1021/acs.jnatprod.2c00731,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1021/acs.joc.1c01235,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1021/acs.orglett.0c01001,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1021/acs.orglett.9b03866,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1038/s41596-020-0293-9,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1145/3442442.3451368,negligible risk,This paper cited Addendum or Neupane et al. 2019,1
10.1002/ejoc.201403569,negligible risk,Citations only appear in the introduction section,2
10.1002/mrc.4130,negligible risk,Citations only appear in the introduction section,2
10.1002/mrc.4312,negligible risk,Citations only appear in the introduction section,2
10.1002/mrc.4469,negligible risk,Citations only appear in the introduction section,2
10.1002/mrc.5077,negligible risk,Citations only appear in the introduction section,2
10.1002/mrc.5087,negligible risk,Citations only appear in the introduction section,2
10.1002/qua.25655,negligible risk,Citations only appear in the introduction section,2
10.1002/qua.26456,negligible risk,Citations only appear in the introduction section,2
10.1007/s00894-016-3045-6,negligible risk,Citations only appear in the introduction section,2
10.1016/j.chemphyslip.2020.104973,negligible risk,Citations only appear in the introduction section,2
10.1016/j.molstruc.2017.05.139,negligible risk,Citations only appear in the introduction section,2
10.1016/j.molstruc.2017.09.065,negligible risk,Citations only appear in the introduction section,2
10.1016/j.saa.2019.117685,negligible risk,Citations only appear in the introduction section,2
10.1016/j.tet.2014.07.070,negligible risk,Citations only appear in the introduction section,2
10.1021/acs.jctc.0c00979,negligible risk,Citations only appear in the introduction section,2
10.1021/acs.jctc.5b00856,negligible risk,Citations only appear in the introduction section,2
10.1021/acs.joc.7b00321,negligible risk,Citations only appear in the introduction section,2
10.1021/acs.joc.8b00104,negligible risk,Citations only appear in the introduction section,2
10.1021/acs.joc.8b00800,negligible risk,Citations only appear in the introduction section,2
10.1021/acs.joc.9b03129,negligible risk,Citations only appear in the introduction section,2
10.1021/ed4006584,negligible risk,Citations only appear in the introduction section,2
10.1021/jacs.8b11403,negligible risk,Citations only appear in the introduction section,2
10.1038/ja.2016.51,negligible risk,Citations only appear in the introduction section,2
10.1039/c8cp01616j,negligible risk,Citations only appear in the introduction section,2
10.1039/d0cp05064d,negligible risk,Citations only appear in the introduction section,2
10.1039/d0sc03664a,negligible risk,Citations only appear in the introduction section,2
10.1039/d2cp02773a,negligible risk,Citations only appear in the introduction section,2
10.1186/s13321-019-0374-3,negligible risk,Citations only appear in the introduction section,2
10.2174/1570178617666200210111928,negligible risk,Citations only appear in the introduction section,2
10.23939/chcht12.01.018,negligible risk,Citations only appear in the introduction section,2
10.32434/0321-4095-2021-139-6-32-39,negligible risk,Citations only appear in the introduction section,2
10.3390/magnetochemistry4040055,negligible risk,Citations only appear in the introduction section,2
10.3390/molecules22040521,negligible risk,Citations only appear in the introduction section,2
10.3390/molecules24152830,negligible risk,Citations only appear in the introduction section,2
10.3390/molecules26113477,negligible risk,Citations only appear in the introduction section,2
10.3390/molecules28010214,negligible risk,Citations only appear in the introduction section,2
10.3390/molecules28062449,negligible risk,Citations only appear in the introduction section,2
10.1002/anie.201706532,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1002/anie.201708266,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1002/anie.201810566,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1002/anie.201902777,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1002/anie.201916566,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1002/cbdv.201700294,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1002/cbdv.202100707,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1002/chem.201602242,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1002/cjoc.202200383,high risk,Contain risk-elevating keyword ['nmr calculation'],3
10.1002/ejoc.201403457,high risk,"Contain risk-elevating keyword ['nmr chemical shift', 'nmr calculation']",3
10.1002/ejoc.201901363,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1002/ejoc.202000158,high risk,Contain risk-elevating keyword ['nmr calculation'],3
10.1002/mrc.4302,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1002/mrc.4411,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1002/mrc.4502,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1002/mrc.4527,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1002/mrc.4818,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1002/mrc.4892,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1002/mrc.4951,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1002/mrc.4959,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1002/pssb.201800335,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1007/164_2022_617,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1007/978-981-10-5966-7_17,high risk,Contain risk-elevating keyword ['quantum chemical calculation'],3
10.1007/s00706-017-2056-z,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1007/s00894-015-2639-8,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1007/s00894-016-3172-0,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1007/s10593-014-1489-0,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1007/s13659-019-0203-4,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1007/s13659-020-00248-y,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1007/s13659-022-00342-3,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/b978-0-12-812364-5.00007-9,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/s1875-5364(19)30120-7,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.aca.2019.01.023,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.apsb.2021.05.001,high risk,Contain risk-elevating keyword ['nmr calculation'],3
10.1016/j.bioorg.2020.104397,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1016/j.bioorg.2020.104597,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.bioorg.2022.106025,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.bmc.2019.07.021,high risk,"Contain risk-elevating keyword ['boltzmann', 'nmr chemical shift', 'boltzmann']",3
10.1016/j.comptc.2014.11.007,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1016/j.crci.2019.10.006,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.ejmech.2020.112888,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.ejmech.2022.114948,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1016/j.fitote.2019.104466,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.fitote.2020.104529,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.fitote.2023.105546,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.heliyon.2019.e02518,high risk,"Contain risk-elevating keyword ['nmr chemical shift calculation', 'nmr chemical shift']",3
10.1016/j.isci.2021.103384,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.jcou.2017.06.012,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1016/j.jff.2017.07.036,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1016/j.jmr.2018.08.009,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1016/j.jorganchem.2018.03.014,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1016/j.jphotochem.2018.04.039,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.molliq.2022.120342,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.molstruc.2014.07.020,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.molstruc.2015.08.028,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1016/j.molstruc.2017.09.058,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.molstruc.2018.03.050,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.molstruc.2018.10.064,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1016/j.molstruc.2018.11.085,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1016/j.molstruc.2019.01.052,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.molstruc.2020.128157,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1016/j.molstruc.2020.128834,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.molstruc.2021.131159,high risk,"Contain risk-elevating keyword ['boltzmann', 'boltzmann']",3
10.1016/j.molstruc.2022.132883,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.phytochem.2018.10.022,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.phytochem.2022.113136,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1016/j.phytochem.2022.113278,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1016/j.phytochem.2023.113690,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.phytol.2015.07.004,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.phytol.2019.12.008,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1016/j.phytol.2023.03.005,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.polymer.2022.125153,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1016/j.tet.2015.03.016,high risk,"Contain risk-elevating keyword ['nmr chemical shift', 'boltzmann', 'nmr chemical shift']",3
10.1016/j.tet.2016.12.027,high risk,"Contain risk-elevating keyword ['boltzmann', 'nmr chemical shift', 'boltzmann', 'nmr chemical shift']",3
10.1016/j.tet.2019.03.056,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.tet.2022.132955,high risk,Contain risk-elevating keyword ['quantum chemical calculation'],3
10.1016/j.tetlet.2018.02.031,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1016/j.tetlet.2019.05.061,high risk,Contain risk-elevating keyword ['nmr calculation'],3
10.1016/j.xphs.2017.08.008,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.analchem.0c04341,high risk,"Contain risk-elevating keyword ['nmr chemical shift calculation', 'nmr chemical shift', 'nmr chemical shift calculation', 'nmr chemical shift']",3
10.1021/acs.analchem.2c05145,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.analchem.8b04567,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1021/acs.energyfuels.1c04336,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jcim.2c01093,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jctc.0c00860,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jctc.7b00772,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1021/acs.jmedchem.9b00716,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jnatprod.0c00745,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jnatprod.0c00910,high risk,"Contain risk-elevating keyword ['nmr calculation', 'boltzmann']",3
10.1021/acs.jnatprod.0c00929,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1021/acs.jnatprod.1c00185,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jnatprod.1c00738,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jnatprod.2c00151,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1021/acs.jnatprod.2c00257,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jnatprod.2c00332,high risk,Contain risk-elevating keyword ['nmr calculation'],3
10.1021/acs.jnatprod.2c01140,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1021/acs.jnatprod.3c00139,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1021/acs.jnatprod.5b00439,high risk,"Contain risk-elevating keyword ['nmr chemical shift', 'nmr chemical shift']",3
10.1021/acs.jnatprod.5b00695,high risk,Contain risk-elevating keyword ['quantum chemical calculation'],3
10.1021/acs.jnatprod.5b00832,high risk,"Contain risk-elevating keyword ['nmr chemical shift', 'boltzmann', 'nmr chemical shift']",3
10.1021/acs.jnatprod.6b00574,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/acs.jnatprod.6b00799,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jnatprod.7b00587,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jnatprod.7b00807,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/acs.jnatprod.7b00926,high risk,Contain risk-elevating keyword ['script'],3
10.1021/acs.jnatprod.8b00024,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1021/acs.jnatprod.8b00234,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jnatprod.8b00494,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jnatprod.8b00567,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/acs.jnatprod.8b00713,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jnatprod.8b00838,high risk,"Contain risk-elevating keyword ['boltzmann', 'nmr chemical shift']",3
10.1021/acs.jnatprod.8b00956,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jnatprod.8b01054,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jnatprod.9b00173,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jnatprod.9b00416,high risk,"Contain risk-elevating keyword ['boltzmann', 'nmr chemical shift']",3
10.1021/acs.jnatprod.9b00493,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.jnatprod.9b00551,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jnatprod.9b00859,high risk,"Contain risk-elevating keyword ['quantum chemical calculation', 'nmr chemical shift', 'nmr chemical shift calculation', 'nmr chemical shift']",3
10.1021/acs.jnatprod.9b00917,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/acs.jnatprod.9b01108,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.joc.0c01988,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.joc.0c02214,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.joc.2c01415,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1021/acs.joc.5b00421,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/acs.joc.5b02396,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.joc.6b01431,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.joc.8b02724,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.joc.8b02975,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.joc.8b03028,high risk,"Contain risk-elevating keyword ['nmr chemical shift', 'boltzmann']",3
10.1021/acs.joc.9b01633,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.jpca.1c08687,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/acs.jpca.7b01954,high risk,"Contain risk-elevating keyword ['nmr chemical shift calculation', 'nmr chemical shift']",3
10.1021/acs.jpcc.6b06155,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/acs.macromol.7b01692,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.orglett.0c03565,high risk,Contain risk-elevating keyword ['nmr calculation'],3
10.1021/acs.orglett.2c02187,high risk,Contain risk-elevating keyword ['nmr calculation'],3
10.1021/acs.orglett.5b00902,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/acs.orglett.6b02832,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.orglett.7b03706,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.orglett.9b01248,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/acs.orglett.9b03216,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1021/acschembio.5b00894,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/ja508119d,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/jacs.5b07858,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1021/jacs.6b07268,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/jacs.6b11081,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/jacs.7b07706,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1021/jacs.8b01330,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/jacs.8b05459,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/jacs.8b13481,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/jacsau.1c00568,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1021/jo501813d,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1021/np5002384,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1021/ol501853y,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1038/nature23265,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1038/s41467-019-12453-6,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1038/s41596-018-0091-9,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1038/s41598-017-06005-5,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1039/9781782623946-00369,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1039/c4ob01251h,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1039/c6ob00606j,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1039/c6qo00556j,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1039/c6qo00620e,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1039/c7ra06106d,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1039/c7sc01127j,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1039/c8nr06868b,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1039/c8ob01813h,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1039/c8qo00357b,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1039/c8qo01007b,high risk,Contain risk-elevating keyword ['quantum chemical calculation'],3
10.1039/c9an00950g,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1039/c9qo00281b,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1039/d1qo00089f,high risk,Contain risk-elevating keyword ['nmr calculation'],3
10.1039/d2nj02587f,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1055/s-0042-111393,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1071/ch20125,high risk,Contain risk-elevating keyword ['script'],3
10.1080/07391102.2015.1046937,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1080/10286020.2020.1729135,high risk,Contain risk-elevating keyword ['boltzmann'],3
10.1080/10286020.2022.2100359,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1080/14786419.2018.1509330,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.1080/14786419.2020.1869969,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.1142/9781786344090_0003,high risk,Contain risk-elevating keyword ['script'],3
10.1142/9781786344090_0006,high risk,"Contain risk-elevating keyword ['python script', 'script']",3
10.1177/1934578x20920042,negligible risk,All citation contexts contain risk-reducing keywords,3
10.1186/s13321-018-0305-8,high risk,"Contain risk-elevating keyword ['boltzmann', 'nmr chemical shift', 'nmr chemical shift', 'boltzmann']",3
10.1186/s13321-022-00587-7,high risk,"Contain risk-elevating keyword ['nmr chemical shift calculation', 'nmr chemical shift']",3
10.1371/journal.pone.0198321,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.3389/fmicb.2022.950857,negligible risk,All citation contexts contain risk-reducing keywords,3
10.3389/fmolb.2021.756219,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.3390/md19020095,high risk,"Contain risk-elevating keyword ['boltzmann', 'python script', 'script']",3
10.3390/biomedicines10040839,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.3390/cryst13010016,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.3390/md15060171,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.3390/md16060189,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.3390/md17060319,negligible risk,All citation contexts contain risk-reducing keywords,3
10.3390/md17070423,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.3390/md20010052,negligible risk,All citation contexts contain risk-reducing keywords,3
10.3390/molecules24213890,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.3390/molecules27248782,negligible risk,All citation contexts contain risk-reducing keywords,3
10.3390/plants8090301,medium risk,neither risk-elevating nor risk-reducing attributes detected ,3
10.3762/bjoc.12.10,high risk,Contain risk-elevating keyword ['nmr chemical shift'],3
10.3762/bjoc.13.245,negligible risk,All citation contexts contain risk-reducing keywords,3
10.3998/ark.5550190.0016.307,high risk,"Contain risk-elevating keyword ['boltzmann', 'boltzmann', 'boltzmann']",3
10.5562/cca2767,high risk,"Contain risk-elevating keyword ['boltzmann', 'boltzmann']",3
