DOI,decision,rationale,stage
10.1016/j.isci.2021.103384,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.jcou.2017.06.012,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.jff.2017.07.036,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.jmr.2018.08.009,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.jorganchem.2018.03.014,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.jphotochem.2018.04.039,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molliq.2022.120342,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molstruc.2014.07.020,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molstruc.2015.08.028,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.molstruc.2017.09.058,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molstruc.2018.03.050,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molstruc.2018.10.064,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molstruc.2018.11.085,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molstruc.2019.01.052,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.molstruc.2020.128157,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molstruc.2020.128834,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.molstruc.2021.131159,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.molstruc.2022.132883,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.phytochem.2018.10.022,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.phytochem.2022.113136,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.phytochem.2022.113278,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.phytochem.2023.113690,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.phytol.2015.07.004,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.phytol.2019.12.008,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.phytol.2023.03.005,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.polymer.2022.125153,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.tet.2015.03.016,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.tet.2016.12.027,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.tet.2019.03.056,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.tet.2022.132955,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.tetlet.2018.02.031,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1016/j.tetlet.2019.05.061,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1016/j.xphs.2017.08.008,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.analchem.0c04341,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.analchem.2c05145,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.analchem.8b04567,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.energyfuels.1c04336,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jcim.2c01093,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jctc.0c00860,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jctc.7b00772,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jmedchem.9b00716,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.0c00745,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.0c00910,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.0c00929,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.1c00185,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.1c00738,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.2c00151,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.2c00257,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.2c00332,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.2c01140,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.3c00139,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.5b00439,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.5b00695,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.5b00832,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.6b00574,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.6b00799,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.7b00587,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.7b00807,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.7b00926,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.8b00024,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.8b00234,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.8b00494,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.8b00567,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.8b00713,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.8b00838,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.8b00956,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.8b01054,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.9b00173,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.9b00416,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.9b00493,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.9b00551,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.9b00859,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.9b00917,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jnatprod.9b01108,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.joc.0c01988,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.joc.0c02214,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.joc.2c01415,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.joc.5b00421,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.joc.5b02396,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.joc.6b01431,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.joc.8b02724,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.joc.8b02975,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.joc.8b03028,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.joc.9b01633,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jpca.1c08687,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.jpca.7b01954,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.jpcc.6b06155,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.macromol.7b01692,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.orglett.0c03565,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.orglett.2c02187,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.orglett.5b00902,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/acs.orglett.6b02832,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.orglett.7b03706,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.orglett.9b01248,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acs.orglett.9b03216,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/acschembio.5b00894,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/ja508119d,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/jacs.5b07858,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/jacs.6b07268,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/jacs.6b11081,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/jacs.7b07706,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/jacs.8b01330,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/jacs.8b05459,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/jacs.8b13481,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/jacsau.1c00568,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/jo501813d,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1021/np5002384,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1021/ol501853y,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1038/nature23265,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1038/s41467-019-12453-6,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1038/s41596-018-0091-9,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1038/s41598-017-06005-5,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/9781782623946-00369,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/c4ob01251h,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/c6ob00606j,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1039/c6qo00556j,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/c6qo00620e,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1039/c7ra06106d,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/c7sc01127j,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1039/c8nr06868b,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/c8ob01813h,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/c8qo00357b,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1039/c8qo01007b,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1039/c9an00950g,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/c9qo00281b,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1039/d1qo00089f,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1039/d2nj02587f,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1055/s-0042-111393,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1071/ch20125,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1080/07391102.2015.1046937,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1080/10286020.2020.1729135,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1080/10286020.2022.2100359,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1080/14786419.2018.1509330,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1080/14786419.2020.1869969,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1142/9781786344090_0003,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1142/9781786344090_0006,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1177/1934578x20920042,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1186/s13321-018-0305-8,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.1186/s13321-022-00587-7,negligible risk,No citation context classified as at risk by the machine learning model,3
10.1371/journal.pone.0198321,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3389/fmicb.2022.950857,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3389/fmolb.2021.756219,negligible risk,No citation context classified as at risk by the machine learning model,3
10.3390/md19020095,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3390/biomedicines10040839,negligible risk,No citation context classified as at risk by the machine learning model,3
10.3390/cryst13010016,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3390/md15060171,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3390/md16060189,negligible risk,No citation context classified as at risk by the machine learning model,3
10.3390/md17060319,negligible risk,No citation context classified as at risk by the machine learning model,3
10.3390/md17070423,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3390/md20010052,negligible risk,No citation context classified as at risk by the machine learning model,3
10.3390/molecules24213890,negligible risk,No citation context classified as at risk by the machine learning model,3
10.3390/molecules27248782,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3390/plants8090301,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3762/bjoc.12.10,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3762/bjoc.13.245,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.3998/ark.5550190.0016.307,high risk,One or more citation contexts classified as at risk by the machine learning model,3
10.5562/cca2767,high risk,One or more citation contexts classified as at risk by the machine learning model,3
