ID,Old_ID,DOI,Q1 - Review article? (Scopus),Q1 - Review article? (WoS),Q2 - Addendum or Neupane? (Scopus),Q2 - Addendum or Neupane? (WoS),Q3: Introduction section?,label in the reference list,Number of citation contexts,Citation marker,Citation context,Introduction section?,Author,Title,Year,Journal,Source,Other notes
8,7,10.1002/chem.201601150,y,y,n,n,,1,3,"1, 2, 3","The calculation of magnetic properties of molecules with quantum chemical approaches has been extensively used in different branches of organic chemistry since the beginning of the 21st century.1, 2, 3 The development of reliable methods to perform accurate NMR calculations, coupled with the impressive processing capabilities of modern computers and the user-friendly environment of most computational chemistry software packages, are the main responsible to the growing interest in the field. More than 2000 articles published in the recent past demonstrate that quantum chemical calculations of NMR shifts or coupling constants attains a privileged status in modern organic chemistry.1, 2, 3",y,"Grimblat N., Sarotti A.M.",Computational Chemistry to the Rescue: Modern Toolboxes for the Assignment of Complex Molecules by GIAO NMR Calculations,2016,CHEMISTRY-A EUROPEAN JOURNAL,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph. And the citation markers are the same
8,7,10.1002/chem.201601150,y,y,n,n,,1,3,"1, 2, 3","The calculation of magnetic properties of molecules with quantum chemical approaches has been extensively used in different branches of organic chemistry since the beginning of the 21st century.1, 2, 3 The development of reliable methods to perform accurate NMR calculations, coupled with the impressive processing capabilities of modern computers and the user-friendly environment of most computational chemistry software packages, are the main responsible to the growing interest in the field. More than 2000 articles published in the recent past demonstrate that quantum chemical calculations of NMR shifts or coupling constants attains a privileged status in modern organic chemistry.1, 2, 3",y,"Grimblat N., Sarotti A.M.",Computational Chemistry to the Rescue: Modern Toolboxes for the Assignment of Complex Molecules by GIAO NMR Calculations,2016,CHEMISTRY-A EUROPEAN JOURNAL,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph. And the citation markers are the same
8,7,10.1002/chem.201601150,y,y,n,n,,1,3,1,"While the main purpose of this Minireview is to promote and present all the quantum chemistry tools available to assist in the NMR elucidation process, there are other useful approaches that deserve to be mentioned. One of them is the calculation of coupling constants (J) using quantum chemistry methods,3k,3u–3w which have proven to be extremely useful to explore the conformational and stereochemical space of organic molecules.1 Other important methods that must be highlighted are the non-quantum tools for structural assignment. The most prominent work in this area has been made and it is constantly under development mainly by Prof. Elyashberg from ACD Labs, for which in-depth analysis and revision has already been made. The expert systems developed are the result of over four decades of investigation in the development of computer-aided structure elucidation (CASE) methods.10",y,"Grimblat N., Sarotti A.M.",Computational Chemistry to the Rescue: Modern Toolboxes for the Assignment of Complex Molecules by GIAO NMR Calculations,2016,CHEMISTRY-A EUROPEAN JOURNAL,"Scopus, Web of Science",
9,8,10.1002/chem.201602242,n,n,n,n,n,16,1,16,"On the previously optimized geometries of the two possible relative stereoisomers (5 a and 5 b), we performed single-point GIAO calculations by using the same functional and the 6-31G (d,p) basis set13c (Gaussian 09 Software Package).15 We performed the data evaluation considering the Δδ parameter (differences in experimental vs. calculated 1H and 13C NMR chemical shifts) and the MAE parameter (MAE=Σ[|δexp−δcalcd|]/n, summation through n absolute values of the differences in the corresponding experimental and calculated 1H and 13C chemical shifts), which have been successfully used in the characterization of unknown stereostructures by us13 and by other research groups.16 Considering that the only difference between the two possible diastereoisomers of compound 5 is the configuration of C21 (Figure 3), substantial chemical shift differences are expected for the atom of the five-membered ring and atoms spatially close to it. Considering the mean absolute error (MAE) value to compare calculated and experimental 1H and 13C NMR chemical shifts (Figure 1), 5 b displayed the lowest MAE values (13C MAE=1.145 ppm, 1H MAE=0.095 ppm), suggesting the relative configuration S* at position 21 (see Tables S4 and S5 in the Supporting Information for lists of the selected experimental and calculated chemical shifts for proton and carbon near the C-21 of 5 a and 5 b). Moreover, considering our recent results assessing that proton is more discriminating than carbon in the assignment of the relative configuration of natural products,17 we have considered the average |Δδ| values of the MAE values of the protons. In particular, the graphical representation of the errors in calculated chemical shifts shown in Figure 3 suggest that 5 b is the best match with the experimental data for every proton with the one exception of the proton at C-17. In conclusion, considering the data reported above, both the MAE values forward to 5 b; as a consequence, we propose that diastereoisomer 5 b is the correct structure for 5. Therefore, the structure of compound 5 was assigned as shown in Figure 3 and named cedrelosin B.3",n,"Chini M.G., Malafronte N., Vaccaro M.C., Gualtieri M.J., Vassallo A., Vasaturo M., Castellano S., Milite C., Leone A., Bifulco G., De Tommasi N., Dal Piaz F.",Identification of Limonol Derivatives as Heat Shock Protein 90 (Hsp90) Inhibitors through a Multidisciplinary Approach,2016,CHEMISTRY-A EUROPEAN JOURNAL,"Scopus, Web of Science",
10,9,10.1002/chem.202001884,n,n,y,y,,15,1,15,"However, in an age of artificial intelligence (AI), it is no surprise that applications of AI to structure elucidation and synthesis are rapidly growing.13 Computer-assisted structural elucidation (CASE)14 is especially well positioned to play a major role in this regard, but determining the boundaries of in silico elucidation method performance has become critically important.15 Therefore, suitably difficult test case examples are increasingly required.",y,"Maslovskaya L.A., Savchenko A.I., Krenske E.H., Chow S., Holt T., Gordon V.A., Reddell P.W., Pierce C.J., Parsons P.G., Boyle G.M., Kutateladze A.G., Williams C.M.",EBC-232 and 323: A Structural Conundrum Necessitating Unification of Five In Silico Prediction and Elucidation Methods,2020,CHEMISTRY-A EUROPEAN JOURNAL,"Scopus, Web of Science",
11,10,10.1002/chem.202004790,y,n,n,n,,56,1,53-56,"Is it reasonable that the relative configurations of Ranganathan's compounds 3 and 4 could have been assigned with confidence, given the 1H NMR spectra available at the time (Figure 9)? These spectra are obviously low resolution by today's standards, and many 1H peaks are not resolved. But might there be enough information present to allow one to make correct as well as confident assignments? To examine this matter, we predicted the 1H chemical shifts for 3 and 4 using a well-precedented quantum chemical approach:53-56 (SMD(chloroform)-GIAO-mPW1PW91/6–311+G(2d,p), scaled;57, 58 scaling factors were obtained from: cheshirenmr.info). Using these 1H chemical shift predictions, we then evaluated the validity of Woodward's and Ranganathan's assignments.",n,"Tantillo D.J., Seeman J.I.",On the Structural Assignments Underlying R. B. Woodward's Most Personal Data That Led to the Woodward-Hoffmann Rules: Subramania Ranganathan's Key Role and Related Research by E. J. Corey and A. G. Hortmann,2021,CHEMISTRY-A EUROPEAN JOURNAL,"Scopus, Web of Science",
12,11,10.1002/chir.23189,n,n,y,y,,15,1,"15, 16","The general workflow for GIAO NMR calculations was performed according to the procedure by Hoye and co-workers.15, 16 Six to 12 conformers were generated for each possible structure via molecular mechanics calculations using MacroModel before they were subjected to geometry optimization calculations using Gaussian '09. Geometry optimization calculations were performed in the gas phase using the B3LYP/6-31+G(d,p) level of theory. NMR single point calculations (GIAO) were performed on Gaussian '09 for all geometrically optimized structures using mPW1PW91/6-311+G(2d,p) in chloroform with the SMD solvation method. The NMR and free energy data were assembled and Boltzmann-averaged. All chemical shifts were scaled (http://cheshirenmr.info). The NMR data, as well as the maximum and average deviations between the scaled calculated and experimental chemical shifts, are shown in Tables 1 and 2. The scaled shifts were also subjected to statistical analysis using DP4.17",n,"Liu Y., Holt T.A., Kutateladze A., Newhouse T.R.",Stereochemical revision of xylogranatin F by GIAO and DU8+NMR calculations,2020,CHIRALITY,"Scopus, Web of Science",
13,12,10.1002/cjoc.202200383,n,n,n,n,n,13,1,[11-14],"Dichagelinoid B (2) shared the molecular formula of C38H50O7 with 1 based on the (–)-HRMS (ESI) and 13C NMR data, when combined with spectroscopic data analysis revealed they possessed the same planar structure. Comparison of the NMR data (Table 1) showed major differences occurring around the C-17 side chain. The differential carbon chemical shifts (ΔδC) of C-20 (ΔδC + 1.5), C-21 (ΔδC -1.2), C-22 (ΔδC -1.6), C-23 (ΔδC + 1.3), and C-24 (ΔδC -0.4) between compounds 1 and 2, suggested that they should vary at the configuration of C-20 and/or C-23. The relative configurations of all the chiral centers of 2 except for C-20 and C-23 were elucidated to be identical to those in 1 by the comparable chemical shifts and NOE correlations [Figure S1B, Supporting Information (SI)]. The obvious NOESY correlation of H-17/H-23 revealed that HO-20 and H-23 were trans-oriented, indicating the structure of 2 would be the isomer-2a (20R*,23S*) or isomer-2b (20S*,23R*). Thereby, theoretical NMR calculations and DP4+ analysis[11-14] were performed with the two candidates 2a and 2b, and the results revealed isomer-2a (20R*,23S*) displayed better correlation coefficients R2, and with an overall DP4+ (1H and 13C data) probability of 100% (Figure 4 and Figures S5 and S6, SI). The absolute configuration of 2 was then assigned as depicted by the compatible ECD curve with that of 1 (Figure S3, SI), which is supported by the biosynthetic consideration.",n,"Gao X.-H., Wang X.-Y., Zhou J.-S., Zhang Y., Liu H.-C., Zhou B., Yue J.-M.",Rearranged Dichapetalin-Type Triterpenoids with Cytotoxic Activity from Dichapetalum gelonioides,2022,CHINESE JOURNAL OF CHEMISTRY,"Scopus, Web of Science",Implicit citation context
14,13,10.1002/ejoc.201403457,n,n,n,n,n,18,2,18,"Based on the conformational search in the previous section, 1H NMR chemical shifts were calculated according to the general protocol described by Willoughby et al.18 All conformers were reoptimised in chloroform with the same level of theory [M06-2X/6-31+G(d,p)]. For each unique conformer, NMR shielding tensors were calculated with the GAIO method at the B3LYP/6-311+G(2d,p) level of theory in chloroform. Rather than subtract the shielding tensor value of TMS from the calculated tensor values, a more reliable approach was chosen, utilising scaling parameters derived from linear regression analysis of a test set of molecules for this specific combination of functional and basis set.16",n,"Goossens H., Heugebaert T.S.A., Dereli B., Van Overtveldt M., Karahan O., Dogan I., Waroquier M., Van Speybroeck V., Aviyente V., Catak S., Stevens C.V.",Elucidating the Structural Isomerism of Fluorescent Strigolactone Analogue CISA-1,2015,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,"Scopus, Web of Science",Has keywords outside the citation context
14,13,10.1002/ejoc.201403457,n,n,n,n,n,18,2,18,"Computational Methodology: Two levels of theory, B3LYP/6-31+G(d,p)20 and M06-2X/6-31+G(d,p),21 were used for geometry optimisations. Preliminary B3LYP energies were improved by means of geometry optimisations with the M06-2X functional, which is able to account for noncovalent interactions and has been successfully used to describe thermochemistry. More specifically, intramolecular dispersion effects have to be taken into account for the large molecules studied herein.22 A conformational analysis was performed on all isomers and transition states.23 Stationary points were characterised as minima (ground states) or first-order saddle points (transition states) through frequency calculations. IRC (intrinsic reaction coordinate) calculations24 followed by geometry optimisations were used to verify the corresponding reactant and product complexes. Since the reactions under study take place in tetrahydrofuran (ϵ = 7.4257), which cannot form hydrogen bonds with the substrate, the solvent environment was taken into account by means of a polarisable continuum model (PCM).25 1H NMR calculations were carried out with the GAIO (gauge invariant atomic orbitals) method26 at the B3LYP/6-311+G(2d,p)//M06-2X/6-31+G(d,p) level of theory in chloroform (ϵ = 4.7113), according to the general procedure described by Willoughby et al.18 All computations were performed with the Gaussian 09 program package.27",n,"Goossens H., Heugebaert T.S.A., Dereli B., Van Overtveldt M., Karahan O., Dogan I., Waroquier M., Van Speybroeck V., Aviyente V., Catak S., Stevens C.V.",Elucidating the Structural Isomerism of Fluorescent Strigolactone Analogue CISA-1,2015,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,"Scopus, Web of Science",Has keywords outside the citation context
15,14,10.1002/ejoc.201403569,n,n,n,n,y,1,1,[1],"In the last decade, quantum chemical approaches have shown their potential in solving chemical problems,[1] espe- cially those related to chemical structures. In particular, quantum chemistry methods can be applied to calculate the spectroscopic properties of molecules, and the efficient pre- diction of UV, IR, and ECD spectra has been widely re- ported. Among other techniques, NMR spectroscopy offers a particular useful integration with quantum chemical methods (QM) for the determination of the relative config- urations of organic compounds.",y,"Chini M.G., Riccio R., Bifulco G.",Computational NMR Methods in the Stereochemical Analysis of Organic Compounds: Are Proton or Carbon NMR Chemical Shift Data More Discriminating?,2015,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,"Scopus, Web of Science",
16,15,10.1002/ejoc.201901363,n,n,n,n,n,16,1,[16],"All calculations were performed using the GAUSSIAN 09 package (Revision A.02).[10] The energies and opti- mal geometries of the three conformers 11a–c were determined at the B3LYP/6-31G(d) level of theory, in the gas phase (Tables S1–S3 in SI). All optimized structures were verified as ground-state minima by performing frequency calculations at the same level of theory (no imaginary frequencies were found). For NMR calculations, the energies and optimal geometries of 11a–c were first determined at a higher level of theory, using the two-layer ONIOM [M06-2X/6- 31+G(d,p):HF/3-21G] approach and implicit solvation in CHCl3 (IEFPCM; integral equation formalism variant of the polarizable con- tinuum model), as implemented in Gaussian 09 software package (Revision A.02)[10] (Tables S4–S6 in SI). Solute cavities were con- structed using default united-atom radii (UA0). A pruned (99,590) integration grid (99 radial shells and 590 angular points per shell; “ultrafine” grid in Gaussian 09) was employed. All optimized struc- tures were verified as ground-state minima by performing fre- quency calculations at the same level of theory (no imaginary fre- quencies were found), the data from which were also used to com- pute their Boltzmann distribution at 298 K. All optimized structures were then used for NMR calculations. NMR shielding tensors (σ, in ppm) were computed with the gauge-independent atomic orbitals (GIAO) method at the B3LYP/6-311+G(2d,p) level of theory, includ- ing chloroform solvation effects (using the IEFPCM solvation model), while employing solute cavities built from Bondi radii as implemented in Gaussian 09. A pruned (99,590) integration grid was employed. The computed isotropic magnetic shielding tensors (σiso, in ppm) for each nucleus in all conformers was converted to referenced and empirically scaled chemical shifts (δscaled, in ppm) by applying scaling and referencing factors (slope and intercept, respectively) according to the equation: δscaled = (σiso – intercept)/ slope, where δscaled is the referenced/scaled chemical shift (in ppm), and σiso is the isotropic computed NMR shielding tensor (in ppm). The slope and intercept values are typically obtained by linear re- gression analysis of a plot of the calculated isotropic magnetic shielding tensors (σiso) against the corresponding experimental chemical shifts (δexpt). In the present study, we used generic-scaling factors obtained from large datasets [i.e. obtained from linear re- gression analysis of a plot of calculated isotropic magnetic shielding tensors (σiso) against experimental chemical shifts (δexpt) of a large series of compounds]; these scaling/referencing factors are specific of the level of theory used. For the level of theory used herein [B3LYP/6-311+G(2d,p)//M06-2X/6-31+G(d,p)] the following values have been calculated by Willoughby et al.:[16] for 1H: intercept = 31.9477, slope = –1.0767; for 13C: intercept = 181.2412, slope = –1.0522. The final calculated chemical shift values (δcalcd, in ppm; Table 2) were determined by Boltzmann averaging the scaled chem- ical shift values (δscaled, in ppm), based on the calculated Gibbs free energy values of each conformer. Specifically, by using the free energy data (kcal mol–1) obtained from the frequency calculations, a Boltzmann weighting factor [e(–E/RT), where E is the relative energy (kcal mol–1) with respect to the most stable conformer, T is the tem- perature (in K), and R is the gas constant (0.001986 kcal mol–1 K–1)] was determined for each conformer at 298 K, which was, in turn, converted into the relative mole fraction by dividing the calculated Boltzmann factor of each conformer by the sum of all the Boltz- mann factors of all contributing conformers. The resulting weight- ing factors (mole fraction contributions) were applied to the scaled chemical shift values (δscaled, in ppm) for each nucleus of each indi- vidual conformer. Summation of the weighted chemical shifts across all conformers generates the final Boltzmann-weighted aver- age chemical shifts (δcalcd, in ppm) used to compare against experi- mental data (δexpt, in ppm; Table 2). It should be noted that only one enantiomer [i.e. the one having (S)-configuration at C(62)] was considered in our computational NMR studies.",n,"Tzirakis M.D., Malliaros N.G., Orfanopoulos M.",Photochemical Reaction of o-Phthalaldehyde with Fullerene C-60: The Stimulus for the Phthalide Additions to C-60,2019,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,"Scopus, Web of Science",
