CC_ID,DOI,Citation context (sent),Citation context level annotation
CC182,10.1021/acs.jmedchem.9b00716,"In order to measure what is the preferred conformation and its population, we performed conformational analysis by NMR17 encompassing an exhaustive analysis of multiple NMR constraints, including chemical shifts, through-space distances between pairs of atoms (derived from NOEs and/or dipolar couplings), and torsion angles (derived from J-couplings).9,12,18−21",Y
CC66,10.1007/s13659-022-00342-3,"According to the computational results, including R2, MAE, CMAE [19], and DP4+ probability [20] (Table 3), the C-8/C-8′ dou- ble bond was determined to adopt E geometry.",N
CC25,10.1002/mrc.4302,The detailed procedure was generally based upon the protocol reported by Willoughby et al.44,Y
CC399,10.5562/cca2767,"Relative Boltzmann populations are calculated using the formula: where ΔEi are the relative energies corrected for zero-point vibrational energies (ΔEZPVE), kB is the Boltzmann constant, T is the temperature (T = 298 K) and gi are the degeneracy degrees for each conformer (gi = 2 for C1 symmetry and gi = 1 for C2 and Ci symmetries).[45–47]",Y
CC206,10.1021/acs.jnatprod.3c00139,Automation processes with the Gowonda HPC were carried out using a Windows 10 PC and modified python scripts based upon the appended Willoughby protocol.86,Y
CC365,10.3390/md19020095,The subsequent DFT isotropic shielding values were then Boltzmann averaged across each of the conformational suites [25] and scaled (with carbons attached to sulfur adjusted binomially) using the procedure reported by Kutateladze et al. [16].,Y
CC101,10.1016/j.molliq.2022.120342,"In DES2 and DES3 systems (Fig. 2), the chemical shift value of –OH on the carboxyl group shifts to the lower field intensity and the narrower and higher peaks changes to wider and shorter ones indicating that the –OH of CH3COOH and CH3CH2COOH forms a hydrogen bond (Osingle bondH···Cl) with Cl– in ChCl [71]",N
CC126,10.1016/j.phytochem.2018.10.022,"The chemical shift (CS) values were calculated according to the guide of the NMR CS assignment of small molecule structures (Willoughby et al., 2014).",Y
CC103,10.1016/j.molstruc.2015.08.028,The NMR and free-energy data were assembled by using the python script created by Willoughby et al. [38].,Y
CC393,10.3762/bjoc.13.245,"The entire process begins with DFT prediction of isotropic shieldings by one of the established literature procedures, e.g., [3,9], and signal assignment of the experimental NMR spectra.",Y
CC232,10.1021/acs.jnatprod.9b00859,"Here, we report the use of quantum chemical calculations of NMR chemical shifts11−13 to demonstrate that the original structure of serlyticin-A may have been misassigned, and we provided several plausible alternative structures.",Y
CC183,10.1021/acs.jnatprod.0c00745,"For each particular configuration, an ensemble of conformations is generated through standard procedures.54,55",N
CC302,10.1039/c6qo00620e,The quantum chemical prediction (QCP) of 13C NMR chemical shifts is a powerful and generally applicable tool for deducing the correct structures of natural products with complex architectures and was applied to confirm the structure of 1.8,Y
CC240,10.1021/acs.joc.0c01988,"We used Hoye’s protocol to perform conformational searches by Monte Carlo/molecular mechanics followed by further geometric optimizations and frequency calculations at the M06-2X/6-31+G(d,p) level of theory.27",N
CC29,10.1002/mrc.4502,"In the common procedures, conformational weighting of NMR parameters is performed accordingly to the Boltzmann populations obtained through the computed energies of found minima in the potential surface.[21]",N
CC239,10.1021/acs.jnatprod.9b01108,"Basically, the protocol involves a conformational search using molecular mechanics, geometry optimization using density functional theory (DFT) with M06-2X/6-31+G(d), and chemical shift calculations using the GIAO method with the B3LYP/6-311+G(2d,p) level of theory. (26,27)",Y
CC136,10.1016/j.phytol.2019.12.008,"NMR shielding tensors were computed with the GIAO (gauge-independent (or including) atomic orbitals) method in Gaussian 16 using the DFT/MPW1PW91 functional with the 6-311+G(2d,p) basis set, with acetone as the solvent, and the obtained tensor values were then converted to the predicted chemical shifts using the equation described in (Willoughby et al., 2014) (Table 1S, supplementary data).",N
CC213,10.1021/acs.jnatprod.6b00574,"As can be seen in Tables S5 and S8, the matched mean absolute error was <0.17 ppm.9",N
CC122,10.1016/j.molstruc.2020.128834,Determination of the scaling parameters avoids the obligation of 13C shielding calculation for the reference nuclei (TMS) in order to compare calculated and experimental chemical shifts and their usage is recommended in the literature [32].,N
CC331,10.1055/s-0042-111393,"The calculated data were next compared with the experimental parameters, and according to the results (Table 3S, Supporting Information), the Boltzmann-weighted 1H chemical shifts calculated for the S enantiomer were in agreement with the proposed planar structure of 7 since the mean absolute error (MAE) value was < 0.10 ppm [21, 22].",N
CC203,10.1021/acs.jnatprod.2c00332," To further support this structural revision, DFT-based NMR calculations on 1 and 1a were performed.13",Y
CC244,10.1021/acs.joc.5b00421,"Correlations between DFT-computed and experimental 13C NMR chemical shifts give correlation coefficients (R2) that are expected for correctly assigned structures of small-sized organic molecules (Figure 4 and Table 1).25,28",Y
CC156,10.1016/j.tetlet.2019.05.061,"To confirm the structure of compound 1 determined on the basis of HRMS and NMR spectroscopic data, NMR calculation was carried out at mPW1PW91/6-311+G(2d,p) (giao,scrf) [18].",Y
CC340,10.1080/14786419.2018.1509330,"This discrepancy persisted when density functional theory (DFT) calculations (Grimblat and Sarotti 2016, Lodewyk et al. 2012, Willoughby et al. 2014) were used to predict 13C NMR chemical shifts for 4 (SMD(CHCl3)-mPW1PW91/6-311 þ G(2d,p)//B3LYP/6-31 þ G(d,p), scaled; Adamo and Barone 1998, Becke 1993, Jain et al. 2009, Lee et al. 1988, Marenich et al. 2009, Stephens et al. 1994; the Gaussian16 software was used; scaling factors were obtained from: http://cheshirenmr.info).",N
CC271,10.1021/acs.orglett.7b03706,"The sodium carboxylates of four possible thelepamide diastereomers (1a−d, see Figure 4) were initially submitted to a conformational search with the Macromodel program using the protocol of Hoye et al.26",N
CC88,10.1016/j.ejmech.2022.114948,"The GIAO NMR chemical shifts of 21 and its 17-epimer (2) were calculated under Gas Phase/mPW1PW91/6-311 + G(d,p) conditions [31].",Y
CC344,10.1142/9781786344090_0006,"This process can be automated through the use of, e.g., Python scripts. 9, 10",Y
CC225,10.1021/acs.jnatprod.8b00838,"The 1H and 13C NMR chemical shifts of the low-energy conformers with Boltzmann populations greater than 1% were calculated using the gauge-including atomic orbital (GIAO) method at the mPW1PW91/6-311+G(2d,p) level (PCM).13",Y
CC336,10.1071/ch20125,DFT geometry optimized conformers were validated using a previously published script.[32],N
CC68,10.1016/b978-0-12-812364-5.00007-9,"Recently, the application of DFT to a complex structure has been described in a useful step-by-step protocol by Willoughby et al. (2014) to provide nonspecialists with a useful tool for validating putative structural assignments.",N
CC256,10.1021/acs.joc.8b03028,The evaluation of Boltzmann-averaged 13C and 1H magnetic shielding tensors and isotropic chemical shifts from density functional theory (DFT) followed Hoye’s protocol25 adapted as follows.,Y
CC380,10.3390/md17060319,"The low energy conformers of each compound were generated using the Schrodinger MacroModel 11.3 software package in Maestro release 2017-4 (Schrödinger, LLC, New York, NY, USA) as described previously [53].",N
CC90,10.1016/j.fitote.2020.104529,"For 5a and 5b, the parameters a and b of the linear regression δcal = aδexp + b; the correlation coefficient, R2; the mean absolute error (MAE) defined as Σn|δcal – δexp|/n; the corrected mean absolute error (CMAE) defined as Σn|δcorr – δexp|/n, where δcorr = (δcal – b)/a, and DP4+ probability were calculated [22–24].",N
CC168,10.1021/acs.analchem.2c05145,"For the hits without experimental NMR spectra available, their theoretical 1H NMR spectra can be empirically predicted.40",Y
CC186,10.1021/acs.jnatprod.0c00910,"Gas phase minimizations were submitted directly to GIAO NMR calculations at the mPW1PW91/6- 311+g(2d,p) level of theory.25",N
CC161,10.1016/j.xphs.2017.08.008,"To express the chemical shifts in terms of the total computed NMR shielding tensors, the scaling and referencing factors were derived from linear regression analysis, according to Willoughby et al.65",N
CC378,10.3390/md15060171,Deviations of <5 ppm (13 C) and <0.3 ppm (1 H) are generally considered acceptable [6–10].,N
CC151,10.1016/j.tet.2016.12.027,"The 1H and 13C NMR chemical shifts of low-energy conformers with Boltzmann populations greater than 1% were calculated by DFT using the gauge-including atomic orbital (GIAO) method at the mPW1PW91/6-311þG(2d,p) level in acetone (PCM).11",Y
CC317,10.1039/c9qo00281b,"Analysis of the results was undertaken on the correlation coefficient (R2), mean absolute error (MAE), corrected mean absolute error (CMAE),18 and DP4+ probability of each candidate, which can confidently exclude the possibilities of 1b, 1d, 1g, and 1h with opposite C-8 and C-10 configurations.",N
CC226,10.1021/acs.jnatprod.8b00956,The lowest energy conformers of 1 were generated using Schrödinger MacroModel 2016 by following the procedure reported by Willoughby et al.20,N
CC52,10.1007/s00706-017-2056-z,"This NMR chemical shift prediction protocol could be found elsewhere [17, 31].",N
CC169,10.1021/acs.analchem.8b04567,"For example, infrared spectra,37 nuclear magnetic resonance chemical shifts,38 and molecular collisional cross sections (CCS) can be calculated from first-principles, showing success where machine learning approaches39 have underperformed.",N
CC372,10.3390/cryst13010016,"As the DFT-GIAO calculation method is widely used, providing respectable results not only for 13C shifts, but also for 1H shifts and J couplings (Figure 3 and Figure 4), we calculated these NMR parameters on a set of geometry optimized structures using the energy criteria and recommendations from Grimme et al. [16,17], and compared their quality by the literature proposed error function MAE [1].",N
CC113,10.1016/j.molstruc.2017.09.058,"Linear regression analyses of the correlation between δiCalc(ppm) and the δiExp(ppm) data were performed in four optimization protocols for each molecule [39], [41], [49], [50] as follows: 1. in gas-phase, with SCE (only for 1H NMR); 2. in gas-phase, without SCE (for both 1H and 13C NMR); 3. in CHCl3 solution for uncharged oximes [13], or in CH3OH for charged ones [10], with SCE (only for 1H NMR); 4. in CHCl3 solution for uncharged oximes [13], or in CH3OH solution for charged ones [10], without SCE (for both 1H and 13C NMR).",N
CC293,10.1038/nature23265,"Applying comparable analyses10,11 that are based on computed NMR chemical shifts for diastereomers 1 and 26–29 could not alone provide structural discrimination, thus highlighting the care that must be taken with NMR-based stereochemical analysis of flexible complex molecules.",N
CC287,10.1021/jacsau.1c00568,"To calculate the 1H and 31P NMR chemical shifts from the optimized structures, we followed the protocol of Willoughby et al.72",Y
CC333,10.1055/s-0042-111393,"The RPB2 gene has been used previously for inferring species-level phylogenetic relationships and identifications of Peni- cillium sp. [9,21,38] as a number of type sequences from published taxonomic and phylogenetic studies are available in GenBank for comparison. ",N
CC366,10.3390/md19020095,Modified python scripts based on the Willoughby protocol [25] were used to confirm that the geometry- optimized conformers were true energy minima and to confirm the absence of negative vibrational frequencies.,Y
CC214,10.1021/acs.jnatprod.6b00574,NMR shielding tensors were computed with the gauge-independent atomic orbital (GIAO) method and the polarizable continuum model using the integral equation formalism variant (IEFPCM) as the SCRF method.9,N
CC371,10.3390/cryst13010016,"Calculated rotamer-averaged shieldings (σc) for each conformer were correlated with experimental shifts (δo), using linear regression calculations, in order to obtain parameters A and B, i.e., the intercept and the slope of the linear regression line [1].",N
CC3,10.1002/anie.201708266,"Taking a Boltzmann average of NMR parameters computed for individual conformers, as suggested for example by Willoughby and co-workers,10 is necessary but unfortunately insufficient to model real systems.",N
CC167,10.1021/acs.analchem.0c04341,"BW is supported in the literature as the current gold standard approach, even for other properties such as NMR chemical shift calculations.41,42,46",N
CC270,10.1021/acs.orglett.6b02832,Both possible diastereoisomers (1a and 1b) were first submitted to a conformational search with the Macromodel program using the protocol developed by Hoye et al.13,N
CC235,10.1021/acs.jnatprod.9b00859,Deviations of less than 6 ppm for 13C and less than 0.3 ppm for 1H shifts are considered acceptable.13−15,N
CC175,10.1021/acs.jcim.2c01093,"The M06- 2X functional in combination with Pople’s 6-31 + G(d,p) was chosen as the best compromise to accurately describe nonbonded interactions as suggested by Willoughby and co- workers.55",N
CC278,10.1021/ja508119d,"These plots confirm good agreement between theory and experiment, specifically the low-to-moderate values of statistical error parameters for 13C and 1H NMR chemical shifts (Table S4, Supporting Information).23,26−29 ",N
CC351,10.1186/s13321-018-0305-8,"In the last two decades, many research groups have performed benchmark DFT studies on the accuracy of optimized molecular geometry [92, 114–116], functionals [117, 118], basis sets [88, 119], and solvation models [90, 120, 121] for NMR chemical shifts [60, 122–124].",N
CC184,10.1021/acs.jnatprod.0c00745,"This is a well-known protocol successfully used to fit RDCs, which avoids the difficult assignment step.54,55",N
CC109,10.1016/j.molstruc.2017.09.058,The minimum of each geometry was confirmed by frequency calculations without any imaginary frequency [50].,N
CC50,10.1007/s00706-017-2056-z,"Normally, the energy barrier for bond rotation is sufficiently low that interconversion between two conformers is fast on the NMR scale [17].",N
CC119,10.1016/j.molstruc.2019.01.052,"The applied procedure is in principle analogous to the one described by Willoughby [43], with slight modifications and different software packages used.",Y
CC324,10.1039/d1qo00089f,"Then, theoretical NMR calculations24 and DP4+ analysis25,26 were applied to distinguish the two possible isomers (11R* and 11S*), and the results fully matched the 11R* configuration for compound 1 with 100.00% probability (Fig. S7†).",Y
CC154,10.1016/j.tet.2022.132955,"To overcome this issue, quantum chemical calculations of the NMR data of four diastereoisomers (2R*,4R*-1, 2R*,4S*-1, 2S*,4R*-1, and 2S*,4S*-1) were carried out at the B3LYP/ 6-31G*//PCM/mPW1PW91/6-31þG** level [19].",Y
CC327,10.1039/d2nj02587f,"Additionally, for several compounds the structural characterization is complemented with DFT calculations of NMR parameters and comparison with experimental NMR spectra,26 including compounds not characterized by X-ray diffraction.",N
CC224,10.1021/acs.jnatprod.8b00713,Computational methods4−6 comparing experimental and time-dependent density functional theory (TDDFT)-derived ECD data14 can facilitate the assignment of absolute configuration for a natural product providing a chromophore is present and spatially near the stereogenic center.9,N
CC353,10.1186/s13321-018-0305-8,"We weighted 40 axial and 40 equatorial conformers in chloroform and obtained a relative free energy of 1.99 kcal/mol with NWChem, similar to calculations using Gaussian [155] by Willoughby et al. [92], and similar to experimental findings (1.73 kcal/mol [156], 1.93 kcal/mol] [108]) and computed (2.15–2.31 kcal/ mol [107] and 1.68–2.48 kcal/mol [109]) values.",Y
CC251,10.1021/acs.joc.8b02724,"This diastereomer was assigned as (5aR,11aS)-3g based on 2D NMR analysis and DFT-predicted NMR spectra.29",Y
CC284,10.1021/jacs.8b05459,We therefore performed computational studies and compared the resulting conformers and their predicted populations with the NMR spectroscopic data.64,Y
CC99,10.1016/j.jphotochem.2018.04.039,"The computed NMR shielding tensors were converted to chemical shifts by the use of empirical scaling factors [56,59] that are derived from linear regression analysis of a test set of molecules [60] at the same level of theory.",N
CC396,10.3998/ark.5550190.0016.307,"Chemical shifts were derived from application of scaling factors (slope = −1.0767, intercept = 31.9477)51 to the 1H NMR shielding tensors computed at the B3LYP/6-311+G(2d,p)//M06-2X/6-31+G(d,p) level of theory, followed by Boltzmann averaging over all four conformers at 298 K (further details are provided in the Experimental Section).",Y
CC121,10.1016/j.molstruc.2020.128157,"Scaling factors (slope = −1.0522, intercept = 181.2412) are applied to the 13C NMR shielding tensors (B3LYP/6-311+G(2d,p)//M06–2X/6-31+G(d,p) to calculate the 13C NMR chemical shifts [25].",N
CC281,10.1021/jacs.6b11081,The M06-2X functional has been suggested for geometry optimization in a guide to small- molecule structure assignment through computation of 1H and 13C NMR CSs.53,N
CC19,10.1002/ejoc.201403457,"Based on the conformational search in the previous section, 1H NMR chemical shifts were calculated according to the general protocol described by Willoughby et al.18",Y
CC64,10.1007/s13659-019-0203-4,"For each possible candidate, the parameters a and b of the linear regression δcal = aδexp + b; the correlation coefficient, R2; the mean absolute error (MAE) defined as Σn |δcal − δexp|/n; the corrected mean absolute error, CMAE, defined as Σn |δcorr − δexp|/n, where δcorr = (δcal − b)/a, were calculated [16, 17].",N
CC49,10.1007/978-981-10-5966-7_17,The evaluation of physical properties of compounds using theoretical values from quantum chemical calculations has been a topic of computer science research in recent years [83].,N
CC209,10.1021/acs.jnatprod.5b00695,"This procedure was used, since the chemical shifts are the most diagnostic parameters of the local chemical and magnetic environment and the most reliably addressable by quantum chemical calculations. (19)",N
CC252,10.1021/acs.joc.8b02975,"We then used quantum chemistry to predict the most likely stereostructure for 2, based on computed 13C and 1H chemical shifts for each of the 32 possible diastereomers.31",Y
CC364,10.3389/fmolb.2021.756219,"We identified 13 other NMR FBS combinations that had been recommended in the literature for NMR predictions and that could be used with implicit solvation on all our compounds (Taubert et al., 2005; Toukach and Ananikov, 2013a; Willoughby et al., 2014; Kemp, 2016; Benassi, 2017; Iron, 2017).",N
CC255,10.1021/acs.joc.8b03028,"Adopting Hoye’s protocol for structure assignment through computation of NMR chemical shifts (Figure S1),25 we assigned the configuration of the newly formed stereocenter as (S).",Y
CC83,10.1016/j.crci.2019.10.006,"The predicted spectra by MestReNova software are expected to have predicted errors in between 0.8 and 10 ppm (0.5–7%) for 13C NMR and 0.3–0.8 (3–8%) ppm for 1H NMR especially on new chemical structures [43,72].",N
CC135,10.1016/j.phytol.2019.12.008,"To confirm the 1H and 13C NMR assignments of compound 1, we performed computational NMR chemical shifts prediction using DFT quantum mechanical calculations (Willoughby et al., 2014)",Y
CC348,10.1186/s13321-018-0305-8,Willoughby et al. [92] 2 22 14 7 Cis-/trans-diastereomers of 3-methylcyclohexanol,N
CC289,10.1021/np5002384,"Owing to the elimination of coupling information in 1H-BB decoupled spectra, this limitation does not apply to 13C NMR-based methodology5,6 for the validation of structures7 and recognition of incorrect structures of organic molecules, a topic that has recently received increasing attention.",N
CC71,10.1016/j.apsb.2021.05.001,NMR calculation has been commonly used in structural elucidation and revision of natural products15.,N
CC125,10.1016/j.molstruc.2022.132883,Similar equations have been proposed by other authors [46–50].,N
CC325,10.1039/d1qo00089f,All conformations found at least ten times in the result table of conformational searches were examined for their geometry and energy to ensure that there were no redundant conformers and that all logically anticipated conformers had been located.24,Y
CC202,10.1021/acs.jnatprod.2c00257,"In parallel to anisotropic NMR approaches, a number of computational protocols based on the prediction of chemical shifts, by means of quantum mechanical DFT computations,36 have been developed in recent years and have been become a very important tool for the determination of relative configurations.37",N
CC43,10.1002/pssb.201800335,The relative free energies of the four investigated complexes were obtained from the frequency calculations including thermal corrections to SCF energies.[40],N
CC394,10.3998/ark.5550190.0016.307,"The computed set of isotropic magnetic shielding tensor values (σiso, in ppm) for each nucleus in all conformers were scaled, referenced, and averaged (using the mole fraction of each conformation), to generate a set of Boltzmann-weighted average chemical shifts (δcalcd, in ppm; Table 1).51",Y
CC208,10.1021/acs.jnatprod.5b00439,"NMR chemical shifts of the lowest-energy conformers were calculated using the GIAO method at the mPW1PW91-SCRF/6-311+G(2d,p)//B3LYP-SCRF/ 6-31G(d,p) level in acetone (PCM).22",N
CC375,10.3390/md15060171,"Computational chemistry, in particular NMR prediction using quantum chemical methods, can be used as a tool to facilitate confirmation, assignment, and reassignment of natural product structures [6–10] and therefore can be used to focus laboratory experiments on correct structures.",N
CC1,10.1002/anie.201706532,"The validity of structure 5 was confirmed by DFT calculations of the 13C NMR chemical shifts of 2 and 5,10 followed by comparison with the reported data.",Y
CC363,10.3389/fmolb.2021.756219,"As a result, these methods are often unable to distinguish between diastereomers or account for interspatial coupling (Willoughby et al., 2014; Benassi, 2017), greatly hindering the elucidation of stereochemistry within a polysaccharide.",N
CC141,10.1016/j.phytol.2023.03.005,"NMR shielding tensors were calculated with the GIAO method (Willoughby et al., 2014) at mPW1PW91/6–31 +G(d,p) level with IEFPCM solvent model in DMSO.",N
CC343,10.1142/9781786344090_0006,Willoughby et al. 9 have produced a helpful workflow to assist in carrying out this sequence of steps for flexible organic molecules.,N
CC338,10.1080/10286020.2020.1729135,"Then, Boltzmann-weighted averages of the chemical shifts were calculated to scale them against the experimental values [19,20].",Y
CC379,10.3390/md16060189,"The generation of conformers was performed using the Schrödinger MacroModel 2016 (Version 10.8, Schrödinger, LLC, New York, NY, USA) using the protocol reported by Willoughby and co-workers [27].",N
CC138,10.1016/j.phytol.2019.12.008,"The obtained tensor values were then converted to predicted chemical shifts using the equation described in Willoughby et al. (2014) with appropriate scaling and referencing factors (slope and intercept, respectively) obtained from http://cheshirenmr.info/ScalingFactors.htm.",N
CC65,10.1007/s13659-020-00248-y,"The parameters a and b of the linear regression δcal = aδexp + b; the correlation coefficient, R2; the mean absolute error (MAE) defined as Σn|δcal – δexp|/n; the corrected mean absolute error (CMAE) defined as Σn|δcorr – δexp|/n, where δcorr = (δcal – b)/a were calculated [26, 27].",N
CC95,10.1016/j.jcou.2017.06.012,"It would, however, be interesting to assess the impact of multiple conformers and in this respect, the Boltzmann-weighted averaging [83] is a promising approach.",N
CC217,10.1021/acs.jnatprod.7b00807,"Over recent years, the use of computational modeling has emerged as a supplementary method to determine the arrangements of these molecules, being able to calculate not only NMR chemical shifts6 but also other physical properties such as circular dichroism or infrared data.",N
CC312,10.1039/c8nr06868b,"The predicted MAE values for the 1H NMR chemical shifts indicate that our fits (∼0.10 ppm) are in line with the errors obtained for much smaller molecular systems.40,41",N
CC267,10.1021/acs.orglett.0c03565," To determine the configuration of C-32 and C-35 in 1, we employed the quantum-mechanical NMR calculation method,10 which was successfully used in the configuration assignment of natural products including the flexible cyclic peptides and cyclolipopeptides.11",Y
CC318,10.1039/c9qo00281b,"For each possible candidate, the parameters a and b of the linear regression δcal = aδexp + b; the correlation coefficient, R2; the mean absolute error (MAE) defined as Σn|δcal − δexp|/n; and the corrected mean absolute error, CMAE, defined as Σn|δcorr − δexp|/n, where δcorr = (δcal − b)/a, were calculated.10,18",N
CC18,10.1002/cjoc.202200383,"Thereby, theoretical NMR calculations and DP4+ analysis[11-14] were performed with the two candidates 2a and 2b, and the results revealed isomer-2a (20R*,23S*) displayed better correlation coefficients R2, and with an overall DP4+ (1H and 13C data) probability of 100% (Figure 4 and Figures S5 and S6, SI).",Y
CC397,10.3998/ark.5550190.0016.307,"For the level of theory used herein [B3LYP/6-311+G(2d,p)//M06-2X/6-31+G(d,p)] the following values have been calculated by Willoughby et al., 51: for 1H: intercept = 31.9477, slope = –1.0767; for 13C: intercept = 181.2412, slope = -1.0522.",N
CC362,10.3389/fmicb.2022.950857,"The shielding constants were calculated by the GIAO method with TMS (Willoughby et al., 2014).",Y
CC48,10.1007/164_2022_617,"For a pure sample of a small molecule compound analyzed in a modern high-field instrument using 1H and 13C NMR, it is typically possible to assign a definitive structure via computational modeling and/or manual interpretation (Willoughby et al. 2014).",N
CC288,10.1021/jo501813d,"To confirm our assignment, a designated protocol, which included a conformational analysis, geometry optimization of each conformer, NMR shielding tensors calculations, and Boltzmann weighting of these tensors, was followed to determine NMR shifts computationally (see the Supporting Information).13",Y
CC5,10.1002/anie.201902777,"There are now numerous in silico methods to help with structure elucidation by predicting spectra (e.g., NMR,4 ECD5) from chemical structure input or conversely by predicting chemical structure from spectroscopic data (e.g., ACDLabs6).",N
CC179,10.1021/acs.jctc.7b00772,"In fact, Willoughby et al. have published a Nature Protocol for assigning 1H and 13C chemical shifts.6",N
CC53,10.1007/s00894-015-2639-8,The latter values were obtained from frequency calculations including thermal corrections to energies [66].,N
CC269,10.1021/acs.orglett.5b00902,"We then turned to 13C NMR modeling of the eight possible diastereoisomers,16 and more specifically to the application of a well established calculation of the DP4 probability.17",Y
CC229,10.1021/acs.jnatprod.9b00416,"A standard pipeline was used initially for performing this analysis: (1) a library of conformers was created using automatic sampling tools based on molecular mechanics calculations; (2) density functional theory (DFT) calculations were applied to determine optimized geometries, free energies, and NMR shielding tensors for NMR chemical shift predications; (3) Boltzmann averages of NMR shift data were assembled, and computed chemical shifts and ECD spectra were compared to experimental data.22",Y
CC305,10.1039/c7sc01127j,"Following the protocol of Hoye and co-workers,17 32 structures (corresponding to all possible diastereomers at nitrogen 15 and carbons 12, 13, 14 and 17 of 2,18Fig. 2) were generated.",Y
CC341,10.1080/14786419.2020.1869969,"The shielding constants obtained were converted into chemical shifts by referencing to TMS at 0 ppm (δcal = σTMS – σcal), where the σTMS was the shielding constant of TMS calculated at the same level (Willoughby et al. Citation2014).",N
CC205,10.1021/acs.jnatprod.2c01140,Automation processes with the Gowonda HPC were carried out using a Windows 10 PC and modified python scripts based upon the Willoughby protocol.26,Y
CC96,10.1016/j.jff.2017.07.036,"Currently structural elucidation with the aid of computational prediction of proton and carbon NMR chemical shifts by quantum chemical methods has been successfully applied in complicated natural products (Lodewyk, Siebert, & Tantillo, 2012; Willoughby, Jansma, & Hoye, 2014).",Y
CC200,10.1021/acs.jnatprod.2c00151,Automation processes with the Gowonda HPC were carried out on a Windows 10 PC with modified python scripts based upon the appended Willoughby protocol.35,Y
CC185,10.1021/acs.jnatprod.0c00745,"As mentioned above, in a first step allowing to circumvent the necessity of the assignment of two deuterons of methylenes,58 the corresponding RQC values were averaged during the fitting.54,55",N
